authorization_id,timestamp,card_id,merchant_id,merchant_name,transaction_type,amount_cents,assessment,flags,prior_card_merchant_count,other_card_merchant_approval_count,prior_approved_purchase_count,prior_purchase_p95_cents,account_month_with_attempt_cents,monthly_limit_cents
TR00001,2025-09-01T04:03:44Z,CA0018,ME0052,PlainLedger,purchase,1000,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_device; first_card_category; first_card_country,0,0,0,,1000,450000
TR00005,2025-09-01T10:23:57Z,CA0003,ME0041,IsarNest Hotel,purchase,28427,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_device; first_card_category; first_card_country; foreign_merchant,0,0,0,,28427,850000
TR00008,2025-09-01T11:05:33Z,CA0027,ME0057,CashPoint Central,cash_withdrawal,15000,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category,0,0,1,3525,18525,850000
TR00020,2025-09-02T08:42:29Z,CA0015,ME0015,MealWing,purchase,3490,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_device; first_card_category; first_card_country,0,0,0,,3490,400000
TR00038,2025-09-03T04:31:17Z,CA0009,ME0018,NorthTone Digital,purchase,1124,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_device; first_card_category; first_card_country; foreign_merchant,0,0,0,,1442,450000
TR00040,2025-09-03T10:01:34Z,CA0006,ME0030,AlpenWerk Sport,purchase,15000,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_device; first_card_category; first_card_country; foreign_merchant,0,0,0,,15000,280000
TR00043,2025-09-03T16:49:53Z,CA0020,ME0022,PixelHarbor,purchase,17730,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_device; first_card_category,0,0,1,4690,22420,750000
TR00057,2025-09-04T19:52:42Z,CA0020,ME0018,NorthTone Digital,purchase,990,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category; first_card_country; foreign_merchant,0,0,3,17730,30510,750000
TR00058,2025-09-05T02:29:25Z,CA0007,ME0051,WorkCanvas,purchase,890,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category; first_card_country; foreign_merchant,0,0,2,7659,9744,400000
TR00065,2025-09-05T17:59:25Z,CA0020,ME0022,PixelHarbor,purchase,22995,unexplained_by_checked_factors,,2,0,3,17730,52515,750000
TR00075,2025-09-06T10:45:29Z,CA0032,ME0056,RoomKind,purchase,5254,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_device; first_card_category,0,0,1,10495,15749,400000
TR00092,2025-09-07T17:43:50Z,CA0038,ME0021,London Leaf Books,purchase,2000,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category; first_card_country; foreign_merchant,0,0,1,2490,4490,550000
TR00094,2025-09-07T17:46:48Z,CA0038,ME0021,London Leaf Books,purchase,1700,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,1,0,1,2490,4190,550000
TR00103,2025-09-08T12:50:14Z,CA0003,ME0045,EuroTrail Tickets,purchase,108035,unexplained_by_checked_factors,foreign_merchant,1,1,4,31200,171451,850000
TR00105,2025-09-08T15:27:02Z,CA0002,ME0008,LakeLine Mobility,purchase,3324,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category,0,0,4,7895,26498,450000
TR00106,2025-09-08T15:29:44Z,CA0002,ME0008,LakeLine Mobility,purchase,2825,behavioral_context_only,no_approved_card_merchant; recent_decline_same_merchant,1,0,4,7895,25999,450000
TR00123,2025-09-09T18:34:06Z,CA0002,ME0032,Tool and Timber,purchase,10600,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category,0,0,4,7895,33774,450000
TR00130,2025-09-10T09:29:48Z,CA0020,ME0024,HarborByte,purchase,35300,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_country; foreign_merchant,0,0,7,22995,111250,750000
TR00142,2025-09-11T02:22:10Z,CA0027,ME0018,NorthTone Digital,purchase,1486,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_device; first_card_category; first_card_country; foreign_merchant,0,0,4,6649,19460,850000
TR00158,2025-09-12T03:15:25Z,CA0022,ME0051,WorkCanvas,purchase,1818,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_country; foreign_merchant,0,0,7,11695,37406,550000
TR00172,2025-09-12T19:42:39Z,CA0003,ME0041,IsarNest Hotel,purchase,40950,unexplained_by_checked_factors,foreign_merchant,2,0,4,31200,104366,850000
TR00228,2025-09-17T02:33:22Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category; first_card_country; foreign_merchant,0,0,8,11190,71003,450000
TR00259,2025-09-18T21:00:10Z,CA0003,ME0052,PlainLedger,purchase,8100,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_card_category; first_card_country,0,1,7,54090,202496,850000
TR00267,2025-09-20T02:35:12Z,CA0034,ME0051,WorkCanvas,purchase,1784,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category; first_card_country; foreign_merchant,0,0,12,12850,94997,450000
TR00268,2025-09-20T05:02:47Z,CA0033,ME0051,WorkCanvas,purchase,1390,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category; first_card_country; foreign_merchant,0,0,5,6200,37618,320000
TR00269,2025-09-20T05:06:39Z,CA0033,ME0051,WorkCanvas,purchase,1390,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,1,0,5,6200,37618,320000
TR00279,2025-09-20T16:02:03Z,CA0017,ME0026,RainThread,purchase,22729,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant,0,0,8,8645,57282,360000
TR00320,2025-09-24T21:24:16Z,CA0040,ME0013,Noon Spoon,purchase,7172,unexplained_by_checked_factors,,1,0,9,8350,81612,850000
TR00364,2025-09-27T18:31:30Z,CA0025,ME0055,Parcel and Pine,purchase,2190,unexplained_by_checked_factors,,1,1,9,5100,76285,450000
TR00367,2025-09-27T21:33:55Z,CA0040,ME0027,Milano Weave,purchase,7589,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_country; foreign_merchant,0,0,12,19700,116574,850000
TR00392,2025-10-01T02:37:05Z,CA0005,ME0052,PlainLedger,purchase,2295,unexplained_by_checked_factors,,2,0,10,11490,2295,550000
TR00413,2025-10-02T03:10:16Z,CA0035,ME0018,NorthTone Digital,purchase,1707,unexplained_by_checked_factors,foreign_merchant,1,0,4,13600,1707,500000
TR00424,2025-10-03T05:28:04Z,CA0009,ME0018,NorthTone Digital,purchase,1124,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,1,3,1,8019,4432,450000
TR00425,2025-10-03T05:30:28Z,CA0009,ME0018,NorthTone Digital,purchase,955,observable_rule_conflict,international_disabled; no_approved_card_merchant; recent_decline_same_merchant; foreign_merchant,2,3,1,8019,4263,450000
TR00435,2025-10-03T20:07:28Z,CA0023,ME0019,CloudShelf Books,purchase,2232,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_card_category,0,1,8,9370,2232,400000
TR00458,2025-10-05T02:43:11Z,CA0007,ME0051,WorkCanvas,purchase,890,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,1,0,32,8413,15281,400000
TR00488,2025-10-07T16:03:34Z,CA0011,ME0017,StoryArc Media,purchase,2300,unexplained_by_checked_factors,,2,0,9,12877,14195,500000
TR00504,2025-10-08T20:29:53Z,CA0023,ME0006,RailNest,purchase,4425,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category,0,0,13,10050,38137,400000
TR00511,2025-10-09T11:01:12Z,CA0029,ME0027,Milano Weave,purchase,11879,unexplained_by_checked_factors,foreign_merchant,1,0,12,23210,59516,950000
TR00526,2025-10-10T13:03:37Z,CA0034,ME0012,Basil and Board,purchase,3182,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant,0,0,19,12850,30563,450000
TR00531,2025-10-11T02:03:13Z,CA0027,ME0018,NorthTone Digital,purchase,1486,unexplained_by_checked_factors,foreign_merchant,2,1,9,9890,40176,850000
TR00550,2025-10-12T06:58:29Z,CA0022,ME0051,WorkCanvas,purchase,1818,observable_rule_conflict,international_disabled; no_approved_card_merchant; unusual_hour; foreign_merchant,1,0,23,11695,53474,550000
TR00566,2025-10-13T14:20:14Z,CA0038,ME0018,NorthTone Digital,purchase,2400,observable_rule_conflict,international_disabled; first_card_merchant; no_approved_card_merchant; first_customer_merchant; first_card_category; foreign_merchant,0,0,8,5850,15935,550000
TR00569,2025-10-13T15:50:28Z,CA0021,ME0041,IsarNest Hotel,purchase,36490,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_card_device; first_card_category; first_card_country; foreign_merchant,0,1,7,13646,56945,850000
TR00577,2025-10-14T07:42:16Z,CA0018,ME0001,Alpine Basket,purchase,4390,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_customer_merchant,0,0,19,7957,13781,450000
TR00589,2025-10-15T07:43:35Z,CA0005,ME0009,RoadPine Energy,purchase,16690,behavioral_context_only,first_card_merchant; no_approved_card_merchant; first_card_category,0,1,17,21354,76519,550000
TR00596,2025-10-15T14:41:33Z,CA0007,ME0003,Lakeview Grocer,purchase,113672,observable_rule_conflict,transaction_limit; amount_above_p95,3,0,40,7700,152365,400000
TR00611,2025-10-16T13:22:53Z,CA0016,ME0018,NorthTone Digital,purchase,1195,unexplained_by_checked_factors,foreign_merchant,1,0,4,3100,24399,400000
TR00620,2025-10-16T17:06:07Z,CA0001,ME0001,Alpine Basket,purchase,3651,unexplained_by_checked_factors,,2,2,15,12900,58892,450000
TR00625,2025-10-17T06:21:38Z,CA0026,ME0018,NorthTone Digital,purchase,2200,observable_rule_conflict,international_disabled; no_approved_card_merchant; foreign_merchant,1,0,9,11190,17034,450000
